detectorType;descriptorType;imageIndex;cameraTTS
AKAZE;AKAZE;1;12.3444
AKAZE;AKAZE;2;13.9413
AKAZE;AKAZE;3;12.8753
AKAZE;AKAZE;4;14.2488
AKAZE;AKAZE;5;16.0602
AKAZE;AKAZE;6;13.8675
AKAZE;AKAZE;7;15.3462
AKAZE;AKAZE;8;14.1378
AKAZE;AKAZE;9;13.8398
AKAZE;AKAZE;10;11.5483
AKAZE;AKAZE;11;12.1341
AKAZE;AKAZE;12;10.9177
AKAZE;AKAZE;13;11.0846
AKAZE;AKAZE;14;10.5845
AKAZE;AKAZE;15;10.0046
AKAZE;AKAZE;16;9.75125
AKAZE;AKAZE;17;9.06452
AKAZE;AKAZE;18;8.97398
BRISK;BRISK;1;13.031
BRISK;BRISK;2;21.4704
BRISK;BRISK;3;12.5403
BRISK;BRISK;4;15.2031
BRISK;BRISK;5;26.4299
BRISK;BRISK;6;16.6451
BRISK;BRISK;7;16.5987
BRISK;BRISK;8;16.378
BRISK;BRISK;9;13.8959
BRISK;BRISK;10;13.0925
BRISK;BRISK;11;12.273
BRISK;BRISK;12;11.0073
BRISK;BRISK;13;11.8505
BRISK;BRISK;14;12.0376
BRISK;BRISK;15;12.476
BRISK;BRISK;16;11.2969
BRISK;BRISK;17;9.2872
BRISK;BRISK;18;10.9372
FAST;FREAK;1;11.6137
FAST;FREAK;2;13.8852
FAST;FREAK;3;13.2171
FAST;FREAK;4;13.8462
FAST;FREAK;5;46.5554
FAST;FREAK;6;12.5009
FAST;FREAK;7;12.2021
FAST;FREAK;8;11.5467
FAST;FREAK;9;12.2131
FAST;FREAK;10;13.4169
FAST;FREAK;11;13.0373
FAST;FREAK;12;12.1376
FAST;FREAK;13;11.9908
FAST;FREAK;14;11.2961
FAST;FREAK;15;10.8115
FAST;FREAK;16;12.0008
FAST;FREAK;17;8.66857
FAST;FREAK;18;12.1113
HARRIS;SIFT;1;12.4602
HARRIS;SIFT;2;11.4551
HARRIS;SIFT;3;17.6782
HARRIS;SIFT;4;17.0686
HARRIS;SIFT;5;12.6231
HARRIS;SIFT;6;12.4617
HARRIS;SIFT;7;13.5472
HARRIS;SIFT;8;13.8417
HARRIS;SIFT;9;12.2238
HARRIS;SIFT;10;13.0141
HARRIS;SIFT;11;12.8911
HARRIS;SIFT;12;11.9912
HARRIS;SIFT;13;12
HARRIS;SIFT;14;12.0638
HARRIS;SIFT;15;9.78617
HARRIS;SIFT;16;11.5261
HARRIS;SIFT;17;10.8132
HARRIS;SIFT;18;12.4073
ORB;ORB;1;117.551
ORB;ORB;2;10.7758
ORB;ORB;3;17.3391
ORB;ORB;4;25.1615
ORB;ORB;5;30.1357
ORB;ORB;6;19.5874
ORB;ORB;7;-inf
ORB;ORB;8;9.44631
ORB;ORB;9;21.4942
ORB;ORB;10;23.3467
ORB;ORB;11;8.28796
ORB;ORB;12;35.6408
ORB;ORB;13;9.77565
ORB;ORB;14;9.64414
ORB;ORB;15;12.6741
ORB;ORB;16;11.3484
ORB;ORB;17;11.3819
ORB;ORB;18;30.2685
SHITOMASI;SIFT;1;13.9773
SHITOMASI;SIFT;2;12.9004
SHITOMASI;SIFT;3;11.6087
SHITOMASI;SIFT;4;12.7506
SHITOMASI;SIFT;5;12.1886
SHITOMASI;SIFT;6;12.8395
SHITOMASI;SIFT;7;13.3235
SHITOMASI;SIFT;8;12.1376
SHITOMASI;SIFT;9;11.9899
SHITOMASI;SIFT;10;13.2068
SHITOMASI;SIFT;11;12.1076
SHITOMASI;SIFT;12;11.5911
SHITOMASI;SIFT;13;11.6575
SHITOMASI;SIFT;14;10.7891
SHITOMASI;SIFT;15;11.9757
SHITOMASI;SIFT;16;10.68
SHITOMASI;SIFT;17;10.7884
SHITOMASI;SIFT;18;9.52513
SIFT;SIFT;1;11.3868
SIFT;SIFT;2;12.5726
SIFT;SIFT;3;12.749
SIFT;SIFT;4;18.7942
SIFT;SIFT;5;12.4896
SIFT;SIFT;6;11.1131
SIFT;SIFT;7;13.5735
SIFT;SIFT;8;14.4607
SIFT;SIFT;9;12.6003
SIFT;SIFT;10;10.5698
SIFT;SIFT;11;11.2887
SIFT;SIFT;12;11.0189
SIFT;SIFT;13;9.24828
SIFT;SIFT;14;10.2491
SIFT;SIFT;15;9.77464
SIFT;SIFT;16;8.95836
SIFT;SIFT;17;8.69186
SIFT;SIFT;18;9.01264
